TBId,Phyllotaxie,Division,Forme_limbe,Base,Apex,Nervation,Taille,Marge,Pétiole ,Pilosité,Contraste,Aspect,Toucher
53571,alterne,simple,elliptique ou obovale,en_coin ou arrondie ou cordée,aigu,pennée,moyen ou grand,dentée,moyen,glabre,contrasté,mat ou luisant_mat,papyracé
53578,alterne,simple,oblong ou elliptique,arrondie ou en_coin,aigu,pennée,moyen ou grand,dentée,court,glabre,contrasté ou identique,mat ou luisant_mat,papyracé
53647,alterne,simple,elliptique ou ovale,en_coin ou arrondie,aigu,pennée,moyen ou grand,dentée,moyen ou court,glabre ou glabre_pubescent,contrasté,luisant_mat,papyracé ou coriace
53648,alterne,simple,elliptique ou obovale,en_coin ou arrondie ou cordée,aigu,pennée,moyen ou grand,dentée,moyen,glabre,contrasté,luisant_mat,papyracé
53652,alterne,simple,ovale ou elliptique,arrondie,arrondi ou aigu,pennée,petit,dentée,court,glabre,identique,mat,papyracé
53838,alterne,composé_penné,elliptique ou ovale,arrondie ou asymétrique,aigu,pennée,moyen,dentée,court,glabre,contrasté ou identique,mat,papyracé
54104,alterne,simple,elliptique ou ovale ou oblong,en_coin,arrondi ou échancré,pennée,moyen ou petit,entière ou ondulée,court,glabre,contrasté,luisant_mat,papyracé ou coriace
54209,alterne,simple,obovale ou elliptique,arrondie ou tronquée,aigu,pennée,moyen,dentée,long,glabre,contrasté,luisant_mat,papyracé ou coriace
54239,alterne,simple,obovale ou elliptique ou oblong,arrondie ou cordée,aigu,pennée,moyen,dentée,long ou moyen,glabre,contrasté,luisant_mat,papyracé ou coriace
54298,alterne,simple,elliptique ou ovale,en_coin,aigu,pennée,moyen,dentée,court ou moyen,glabre_pubescent ou pubescent,contrasté,luisant_mat ou mat,papyracé ou coriace
54386,alterne,simple,lobé_peu_profond ou lobé_profond,en_coin ou tronquée ou cordée,aigu ou arrondi,pennée,moyen,dentée ou ondulée,court,glabre ou glabre_pubescent,contrasté,luisant_mat,coriace ou papyracé
54390,alterne,simple,obovale ou elliptique,en_coin ou tronquée ou cordée,aigu,pennée,moyen ou petit,dentée,court,glabre ou glabre_pubescent,contrasté,luisant_mat,coriace
54442,alterne,simple,elliptique ou ovale,arrondie ou tronquée,aigu ou arrondi,pennée,petit,dentée ou ondulée,court,glabre_pubescent,contrasté,luisant_mat,coriace
75771,alterne,simple,lobé_profond,en_coin ou asymétrique,aigu,pennée,moyen,dentée,moyen,glabre,identique,mat ou luisant_mat,papyracé
54524,alterne,simple,lobé_peu_profond ou lobé_profond,en_coin ou cordée ou asymétrique ou arrondie,arrondi,pennée,moyen ou petit,entière ou ondulée,moyen,glabre,contrasté,mat,papyracé
54438,alterne,simple,lobé_peu_profond ou lobé_profond,en_coin ou cordée ou asymétrique ou arrondie,arrondi,pennée,moyen ou petit,entière ou ondulée,moyen,pubescent ou glabre_pubescent,contrasté,mat,papyracé ou coriace
54540,alterne,simple,lobé_profond ou lobé_peu_profond,en_coin ou cordée ou asymétrique ou arrondie,arrondi,pennée,moyen ou petit,entière ou ondulée,court,pubescent ou glabre_pubescent,contrasté,mat,papyracé
75316,alterne,simple,lobé_peu_profond ou lobé_profond,cordée ou asymétrique ou arrondie,arrondi,pennée,moyen ou petit,entière ou ondulée,court,glabre,contrasté,mat,papyracé
54564,alterne,simple,lobé_profond ou lobé_peu_profond,en_coin ou arrondie ou asymétrique,aigu,pennée,moyen ou grand,dentée,moyen,glabre,contrasté,mat ou luisant_mat,papyracé
54585,alterne,simple,ovale ou elliptique ou oblong,arrondie ou asymétrique ou en_coin,aigu ou arrondi,pennée,moyen ou petit,dentée ou ondulée,court ou moyen,glabre_pubescent,contrasté,luisant_mat,coriace
55789,alterne,simple,elliptique ou ovale ou deltoide,en_coin ou arrondie,aigu,pennée,petit ou moyen,dentée,court ou moyen,glabre,contrasté,luisant_mat ou mat,coriace
75325,alterne,simple,ovale ou elliptique ou obovale,en_coin ou arrondie ou cordée,aigu,pennée,moyen,dentée,court ou moyen,glabre,contrasté ou identique,luisant_mat ou mat,coriace ou papyracé
55797,alterne,simple,elliptique ou ovale ou circulaire,arrondie ou en_coin ou asymétrique,aigu ou arrondi,pennée ou arquée,moyen,dentée,moyen ou long,glabre,contrasté,mat ou luisant_mat,papyracé
56068,alterne,composé_penné,ovale ou elliptique,arrondie ou en_coin ou asymétrique,aigu,pennée,petit ou moyen,dentée,moyen ou long,pubescent ou glabre_pubescent,contrasté,mat,papyracé
56081,alterne,composé_penné,oblong ou elliptique,arrondie ou en_coin ou asymétrique,aigu,pennée,moyen ou grand,dentée,moyen ou long,glabre_pubescent,contrasté,mat,papyracé
56110,alterne,simple,lobé_profond,tronquée ou cordée,aigu,palmée,moyen ou petit,dentée,court ou moyen,glabre,contrasté ou identique,mat ou luisant_mat,papyracé
56136,alterne,simple,lobé_profond,tronquée ou cordée,aigu,palmée,moyen,dentée,moyen ou long,glabre,identique ou contrasté,mat,papyracé
75483,alterne,simple,lobé_profond,cordée ou tronquée,aigu ou arrondi,palmée,moyen,dentée,moyen ou long,glabre,contrasté ou identique,mat,papyracé
56165,alterne,simple,lobé_profond,cordée ou tronquée,aigu ou arrondi,palmée,moyen ou petit,dentée,moyen ou long,glabre,contrasté ou identique,mat ou luisant_mat,papyracé
56245,alterne,composé_penné,elliptique ou ovale,arrondie,arrondi,pennée,petit ou moyen,entière,long,glabre,identique,mat,papyracé
56523,alterne,composé_penné,elliptique ou ovale,arrondie ou en_coin,aigu,pennée,petit ou moyen,dentée,moyen,glabre,contrasté ou identique,mat ou luisant_mat,papyracé
56619,alterne,composé_penné,elliptique ou ovale,arrondie ou en_coin,aigu,pennée,petit ou moyen,dentée,moyen,glabre,contrasté ou identique,mat ou luisant_mat,papyracé
57436,alterne,composé_penné,elliptique ou ovale,arrondie ou en_coin,aigu,pennée,petit ou moyen,dentée,moyen,glabre,contrasté ou identique,mat ou luisant_mat,papyracé
57520,alterne,composé_penné,elliptique ou ovale,arrondie ou en_coin,aigu,pennée,petit ou moyen,dentée,moyen,glabre,contrasté,luisant_mat,papyracé
57585,alterne,composé_penné,elliptique ou circulaire,arrondie ou en_coin ou cordée,aigu,pennée,petit ou moyen,dentée,moyen,glabre,contrasté ou identique,mat ou luisant_mat,papyracé
57975,alterne,composé_trifoliolé,ovale ou elliptique ou lobé_peu_profond,arrondie ou en_coin ou cordée,aigu,pennée,moyen,dentée,moyen,glabre,contrasté,mat,papyracé
58089,alterne,composé_palmé ou composé_trifoliolé,elliptique ou ovale ou obovale,arrondie ou en_coin ou cordée ou asymétrique,aigu ou arrondi,pennée,moyen,dentée,moyen,glabre,contrasté ou identique,mat,papyracé
58196,alterne,composé_penné ou composé_trifoliolé,ovale ou elliptique ou lobé_peu_profond,arrondie ou en_coin ou cordée ou asymétrique,aigu,pennée,moyen,dentée,moyen ou long,glabre,contrasté,mat,papyracé
58514,alterne,composé_palmé ou composé_trifoliolé,elliptique ou ovale,arrondie ou en_coin ou cordée ou asymétrique,aigu ou arrondi,pennée,moyen,dentée,moyen ou long,glabre,contrasté,mat ou luisant_mat,papyracé
58960,alterne,simple,elliptique ou ovale,arrondie,aigu,arquée,petit ou moyen,entière,absent ou court,glabre,identique ou contrasté,mat ou luisant_mat,coriace
59255,alterne,simple,oblong ou elliptique,en_coin,aigu,pennée,moyen,dentée,court,glabre_pubescent ou pubescent,identique ou contrasté,mat ou luisant_mat,papyracé
59317,alterne,simple,oblong ou obovale ou elliptique,arrondie ou en_coin,aigu ou arrondi,pennée,moyen ou petit,dentée,court ou moyen,glabre ou glabre_pubescent,contrasté,mat,papyracé
59323,alterne,simple,obovale ou elliptique,arrondie ou en_coin ou asymétrique,arrondi ou aigu,pennée,moyen ou petit,dentée ou ondulée,court ou moyen,glabre ou glabre_pubescent,contrasté,mat,papyracé ou gaufré
59332,alterne,simple,oblong,en_coin ou arrondie,aigu,pennée,moyen,dentée ou ondulée,court,glabre,contrasté,mat ou luisant_mat,papyracé
